ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
3,"Asian Alone",0,"Not Hispanic or Latino",2020,"2020",4964,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1467279,0.14613340010170625
3,"Asian Alone",1,"Hispanic or Latino",2020,"2020",1863.9999999999998,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",21347,0.002126050800134891
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2020,"2020",827,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",21996,0.002190687843714202
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2020,"2020",529,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",3072,0.0003059553125972917
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2020,"2020",2942,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",38493,0.0038337037264998533
5,"Some Other Race Alone",1,"Hispanic or Latino",2020,"2020",16947,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2075359,0.20669502330618578
6,"Two or More Races",0,"Not Hispanic or Latino",2020,"2020",5889.183050305025,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",259209,0.025815875853851363
6,"Two or More Races",1,"Hispanic or Latino",2020,"2020",10201.103959866305,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",470323,0.046841738439679696
0,"White Alone",0,"Not Hispanic or Latino",2019,"2019",1343,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2641770,0.2620395434441263
0,"White Alone",1,"Hispanic or Latino",2019,"2019",20454,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2526673,0.2506229684463829
1,"Black or African American Alone",0,"Not Hispanic or Latino",2019,"2019",2958,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",790252,0.07838580697252512
1,"Black or African American Alone",1,"Hispanic or Latino",2019,"2019",1992,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",30226,0.002998144138264179
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2019,"2019",1021,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",20831,0.002066245634360521
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2019,"2019",3040,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",52562,0.00521367207686898
3,"Asian Alone",0,"Not Hispanic or Latino",2019,"2019",3676,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1454769,0.14429984615491437
